GUID,类型,ID,名称,组,最小值,默认值,最大值,循环,描述
,PARAMETER_GROUP,KeyboardButtons,KeyboardButtons,,,,,,
,PARAMETER,CAT_KEY_ESC,CAT_KEY_ESC,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F1,CAT_KEY_F1,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F2,CAT_KEY_F2,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F3,CAT_KEY_F3,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F4,CAT_KEY_F4,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F5,CAT_KEY_F5,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F6,CAT_KEY_F6,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F7,CAT_KEY_F7,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F8,CAT_KEY_F8,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F9,CAT_KEY_F9,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F10,CAT_KEY_F10,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F11,CAT_KEY_F11,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_F12,CAT_KEY_F12,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_INSERT,CAT_KEY_INSERT,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_PRTSC,CAT_KEY_PRTSC,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_DELETE,CAT_KEY_DELETE,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_HOME,CAT_KEY_HOME,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_END,CAT_KEY_END,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_PGUP,CAT_KEY_PGUP,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_PGDN,CAT_KEY_PGDN,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_GRAVE,CAT_KEY_GRAVE,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_1,CAT_KEY_1,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_2,CAT_KEY_2,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_3,CAT_KEY_3,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_4,CAT_KEY_4,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_5,CAT_KEY_5,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_6,CAT_KEY_6,KeyboardButtons,0,0,1,FALSE,
,PARAMETER,CAT_KEY_7,CAT_KEY_7,KeyboardButtons,0,0,1,FALSE,
